Incident,Estimated Start Time,Estimated Restored Time,Postcodes Impacted,Operator,Description
INC 124195516,2023-12-26 19:17,2023-12-27 01:17,"M24 4HL, M24 4PZ, M24 4PY, M24 4PX, M24 4QA, M24 4PU",ENW,"This power cut has been caused by an unexpected incident with the underground cable that provides electricity to your home or business. We didn't know before your electricity went off that this was going to happen but now we know, rest assured we will get your power back on safely and as quickly as possible.<br/><br/>Please note that all our timescales are estimated based on previous experience and may change if new information becomes available while our engineers are fixing the issue.  With underground power cuts, we may need to dig to repair the cable and this can sometime extend the length of time you are without power. Click the link to find out <a class=""c-fault-back__link ng-binding"" href=""/power-cuts/why-do-we-experience-power-cuts/"">why power cuts happen</a>"
INC 124195475,2023-12-26 14:03,2023-12-26 20:03,SK11 7DZ,ENW,"This power cut has been caused by an unexpected incident with the underground cable that provides electricity to your home or business. We didn't know before your electricity went off that this was going to happen but now we know, rest assured we will get your power back on safely and as quickly as possible.<br/><br/>Please note that all our timescales are estimated based on previous experience and may change if new information becomes available while our engineers are fixing the issue.  With underground power cuts, we may need to dig to repair the cable and this can sometime extend the length of time you are without power. Click the link to find out <a class=""c-fault-back__link ng-binding"" href=""/power-cuts/why-do-we-experience-power-cuts/"">why power cuts happen</a>"
